,Book,Author,Genres,Num_Ratings,description
998,harriet the spy,Louise Fitzhugh,"['Fiction', 'Childrens', 'Middle Grade', 'Young Adult', 'Classics', 'Mystery', 'Realistic Fiction']","98,502","Louise Fitzhugh ['Fiction', 'Childrens', 'Middle Grade', 'Young Adult', 'Classics', 'Mystery', 'Realistic Fiction']"
6806,"half-blood (covenant, #1)",Jennifer L. Armentrout,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Mythology', 'Paranormal Romance', 'Urban Fantasy']","98,387","Jennifer L. Armentrout ['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Mythology', 'Paranormal Romance', 'Urban Fantasy']"
1575,essentialism: the disciplined pursuit of less,Greg McKeown,"['Nonfiction', 'Self Help', 'Business', 'Productivity', 'Personal Development', 'Psychology', 'Philosophy']","98,351","Greg McKeown ['Nonfiction', 'Self Help', 'Business', 'Productivity', 'Personal Development', 'Psychology', 'Philosophy']"
3828,"stormbreaker (alex rider, #1)",Anthony Horowitz,"['Young Adult', 'Fiction', 'Adventure', 'Mystery', 'Thriller', 'Action', 'Espionage']","98,193","Anthony Horowitz ['Young Adult', 'Fiction', 'Adventure', 'Mystery', 'Thriller', 'Action', 'Espionage']"
227,leaves of grass,Walt Whitman,"['Poetry', 'Classics', 'Fiction', 'Literature', 'American', '19th Century', 'Philosophy']","98,151","Walt Whitman ['Poetry', 'Classics', 'Fiction', 'Literature', 'American', '19th Century', 'Philosophy']"
7396,"switched (trylle, #1)",Amanda Hocking,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Fiction', 'Urban Fantasy', 'Paranormal Romance']","98,114","Amanda Hocking ['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Fiction', 'Urban Fantasy', 'Paranormal Romance']"
4215,wraith (nick baron 0.5),James R. Hannibal,"['Fiction', 'Thriller']",98,"James R. Hannibal ['Fiction', 'Thriller']"
4815,hot sinatra,Axel Howerton,"['Crime', 'Mystery Thriller']",98,"Axel Howerton ['Crime', 'Mystery Thriller']"
9076,control switch on: the untold story of the most powerful man in the world-ryan moran-who shaped the planet for peace,Ira Teller,['Nonfiction'],98,Ira Teller ['Nonfiction']
1698,"the sound of suffering (the master of perception, #2)",Darin C.  Brown,[],98,Darin C.  Brown []
9759,"wizard (rainbow's end, #1)",Corrie Mitchell,['Fantasy'],98,Corrie Mitchell ['Fantasy']
4571,weird girl and what's his name,Meagan Brothers,"['Young Adult', 'LGBT', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Teen', 'Young Adult Contemporary']",978,"Meagan Brothers ['Young Adult', 'LGBT', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Teen', 'Young Adult Contemporary']"
332,"the host (the host, #1)",Stephenie Meyer,"['Young Adult', 'Science Fiction', 'Fantasy', 'Romance', 'Fiction', 'Dystopia', 'Paranormal']","977,653","Stephenie Meyer ['Young Adult', 'Science Fiction', 'Fantasy', 'Romance', 'Fiction', 'Dystopia', 'Paranormal']"
3214,the chinaberry tree,Lauren  Alexander,['Nonfiction'],974,Lauren  Alexander ['Nonfiction']
803,"the battle of the labyrinth (percy jackson and the olympians, #4)",Rick Riordan,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']","973,931","Rick Riordan ['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
4660,ryan white: my own story,Ryan White,"['Nonfiction', 'Memoir', 'Biography', 'Autobiography', 'Medical', 'Health', 'Science']",971,"Ryan White ['Nonfiction', 'Memoir', 'Biography', 'Autobiography', 'Medical', 'Health', 'Science']"
6352,corners: voices on change,Amy Lou Jenkins,[],971,Amy Lou Jenkins []
5179,the perfect nanny,Leïla Slimani,"['Fiction', 'Thriller', 'Mystery', 'France', 'Contemporary', 'Mystery Thriller', 'Crime']","97,982","Leïla Slimani ['Fiction', 'Thriller', 'Mystery', 'France', 'Contemporary', 'Mystery Thriller', 'Crime']"
3052,the orphan master's son,Adam  Johnson,"['Fiction', 'Historical Fiction', 'Asia', 'Literary Fiction', 'Contemporary', 'Literature', 'Audiobook']","97,865","Adam  Johnson ['Fiction', 'Historical Fiction', 'Asia', 'Literary Fiction', 'Contemporary', 'Literature', 'Audiobook']"
946,a scanner darkly,Philip K. Dick,"['Science Fiction', 'Fiction', 'Dystopia', 'Science Fiction Fantasy', 'Classics', 'Novels', 'Cyberpunk']","97,824","Philip K. Dick ['Science Fiction', 'Fiction', 'Dystopia', 'Science Fiction Fantasy', 'Classics', 'Novels', 'Cyberpunk']"
1354,the tiger's wife,Téa Obreht,"['Fiction', 'Historical Fiction', 'Magical Realism', 'Literary Fiction', 'Book Club', 'Fantasy', 'War']","97,762","Téa Obreht ['Fiction', 'Historical Fiction', 'Magical Realism', 'Literary Fiction', 'Book Club', 'Fantasy', 'War']"
7119,"god emperor of dune (dune, #4)",Frank Herbert,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Classics', 'Space Opera', 'Audiobook']","97,441","Frank Herbert ['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Classics', 'Space Opera', 'Audiobook']"
1908,the birth of venus,Sarah Dunant,"['Historical Fiction', 'Fiction', 'Historical', 'Italy', 'Art', 'Romance', 'Adult Fiction']","97,135","Sarah Dunant ['Historical Fiction', 'Fiction', 'Historical', 'Italy', 'Art', 'Romance', 'Adult Fiction']"
809,the story of edgar sawtelle,David Wroblewski,"['Fiction', 'Animals', 'Dogs', 'Adult Fiction', 'Contemporary', 'Coming Of Age', 'Literary Fiction']","97,055","David Wroblewski ['Fiction', 'Animals', 'Dogs', 'Adult Fiction', 'Contemporary', 'Coming Of Age', 'Literary Fiction']"
2708,mary me: one woman’s incredible adventure with god,Elizabeth Bristol,"['Nonfiction', 'Christianity', 'Drama']",97,"Elizabeth Bristol ['Nonfiction', 'Christianity', 'Drama']"
9565,my magical palace,Kunal Mukherjee,"['Queer', 'Fiction', 'LGBT', 'Contemporary', 'Indian Literature', 'M M Romance']",97,"Kunal Mukherjee ['Queer', 'Fiction', 'LGBT', 'Contemporary', 'Indian Literature', 'M M Romance']"
9132,a sea story: the untold story of the u.s. navy response to 9/11,Joseph Pignataro,"['Nonfiction', 'History', 'Military Fiction', 'Biography']",97,"Joseph Pignataro ['Nonfiction', 'History', 'Military Fiction', 'Biography']"
4557,we are bridges: a memoir,Cassandra Lane,"['Memoir', 'Nonfiction', 'Biography Memoir', 'Adult', 'Race', 'History']",97,"Cassandra Lane ['Memoir', 'Nonfiction', 'Biography Memoir', 'Adult', 'Race', 'History']"
2958,black ice,Stephen Tesher,"['Fiction', 'Contemporary']",97,"Stephen Tesher ['Fiction', 'Contemporary']"
4882,the deal: a prequel of marriage by law,N.K. Pockett,[],97,N.K. Pockett []
3719,flash of silver: ...the leap that changed my world,Graham Kerr,[],968,Graham Kerr []
892,bossypants,Tina Fey,"['Nonfiction', 'Memoir', 'Humor', 'Biography', 'Audiobook', 'Comedy', 'Autobiography']","966,549","Tina Fey ['Nonfiction', 'Memoir', 'Humor', 'Biography', 'Audiobook', 'Comedy', 'Autobiography']"
1272,"christmas in smithville (hometown, #4)",Kirsten Fullmer,"['Contemporary', 'Romance', 'Young Adult', 'Fiction', 'Adult', 'New Adult', 'Love Story']",964,"Kirsten Fullmer ['Contemporary', 'Romance', 'Young Adult', 'Fiction', 'Adult', 'New Adult', 'Love Story']"
58,where the wild things are,Maurice Sendak,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult']","963,323","Maurice Sendak ['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult']"
82,the stranger,Albert Camus,"['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature']","960,905","Albert Camus ['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature']"
584,exodus,Leon Uris,"['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Israel', 'Jewish', 'War']","96,946","Leon Uris ['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Israel', 'Jewish', 'War']"
8595,summer sisters,Judy Blume,"['Fiction', 'Chick Lit', 'Romance', 'Young Adult', 'Contemporary', 'Coming Of Age', 'Adult Fiction']","96,845","Judy Blume ['Fiction', 'Chick Lit', 'Romance', 'Young Adult', 'Contemporary', 'Coming Of Age', 'Adult Fiction']"
4224,loving frank,Nancy Horan,"['Historical Fiction', 'Fiction', 'Book Club', 'Historical', 'Architecture', 'Romance', 'Adult Fiction']","96,779","Nancy Horan ['Historical Fiction', 'Fiction', 'Book Club', 'Historical', 'Architecture', 'Romance', 'Adult Fiction']"
2784,born standing up: a comic's life,Steve Martin,"['Nonfiction', 'Biography', 'Memoir', 'Humor', 'Comedy', 'Audiobook', 'Autobiography']","96,756","Steve Martin ['Nonfiction', 'Biography', 'Memoir', 'Humor', 'Comedy', 'Audiobook', 'Autobiography']"
402,the epic of gilgamesh,Anonymous,"['Classics', 'Poetry', 'Fiction', 'Mythology', 'Literature', 'Fantasy', 'School']","96,746","Anonymous ['Classics', 'Poetry', 'Fiction', 'Mythology', 'Literature', 'Fantasy', 'School']"
2972,"a column of fire (kingsbridge, #3)",Ken Follett,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'British Literature', 'Fantasy', 'Adult']","96,602","Ken Follett ['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'British Literature', 'Fantasy', 'Adult']"
4567,"son (the giver, #4)",Lois Lowry,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Middle Grade', 'Classics']","96,592","Lois Lowry ['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Middle Grade', 'Classics']"
1574,the emperor of all maladies: a biography of cancer,Siddhartha Mukherjee,"['Nonfiction', 'Science', 'History', 'Medicine', 'Medical', 'Health', 'Biology']","96,441","Siddhartha Mukherjee ['Nonfiction', 'Science', 'History', 'Medicine', 'Medical', 'Health', 'Biology']"
1707,"garden spells (waverley family, #1)",Sarah Addison Allen,"['Fiction', 'Magical Realism', 'Fantasy', 'Romance', 'Chick Lit', 'Magic', 'Contemporary']","96,406","Sarah Addison Allen ['Fiction', 'Magical Realism', 'Fantasy', 'Romance', 'Chick Lit', 'Magic', 'Contemporary']"
3624,"the city of brass (the daevabad trilogy, #1)",S.A. Chakraborty,"['Fantasy', 'Fiction', 'Historical Fiction', 'Young Adult', 'Adult', 'Historical', 'Magic']","96,382","S.A. Chakraborty ['Fantasy', 'Fiction', 'Historical Fiction', 'Young Adult', 'Adult', 'Historical', 'Magic']"
923,solaris,Stanisław Lem,"['Science Fiction', 'Fiction', 'Classics', 'Polish Literature', 'Science Fiction Fantasy', 'Philosophy', 'Fantasy']","96,274","Stanisław Lem ['Science Fiction', 'Fiction', 'Classics', 'Polish Literature', 'Science Fiction Fantasy', 'Philosophy', 'Fantasy']"
